name_en,name_jp,location,address,lat,lng,opening_hours_Monday,opening_hours_Tuesday,opening_hours_Wednesday,opening_hours_Thursday,opening_hours_Friday,opening_hours_Saturday,opening_hours_Sunday,closing_days,hours_source_url,hours_acquisition_date,annual_visitors,visitor_year,visitor_source_url,visitor_acquisition_date,visitor_remarks,google_maps_reviews,google_maps_rating,tripadvisor_reviews,tripadvisor_rating,twitter_hashtags,tabelog_reviews,tabelog_rating,positive_keywords,negative_keywords,main_highlights,last_updated_date
Shuri Castle,首里城,Naha City,"1-2 Shurikinjocho, Naha",26.2172,127.719,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,Open year-round except during special events,https://oki-park.jp/shurijo/en/,2025-04-22,2800000,2023,https://www.pref.okinawa.jp/site/bunka-sports/kankoseisaku/kikaku/statistics/tourism/tourists.html,2025-04-22,,12500,4.5,8700,4.3,3200,450,4.1,"歴史, フレンドリー, 待ち時間, 眺め, 体験","残念, 混雑, 高い, 不便, 騒がしい",Historic Ryukyu Kingdom castle featuring 歴史 architecture and フレンドリー cultural significance.,2025-04-22
Okinawa Churaumi Aquarium,沖縄美ら海水族館,Motobu Town,"424 Ishikawa, Motobu",26.6941,127.878,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,First Wednesday of December and New Year's Day,https://churaumi.okinawa/en/,2025-04-22,3100000,2023,https://churaumi.okinawa/en/about/,2025-04-22,,18200,4.7,12300,4.6,5600,820,4.4,"文化的, 展示, 狭い, 豊か, 待ち時間","残念, 混雑, 高い, 不便, 騒がしい","文化的 marine exhibits including whale sharks and manta rays, with 展示 interactive displays.",2025-04-22
Kokusai Street,国際通り,Naha City,"Kokusai-dori, Naha",26.2144,127.6797,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 8:00 PM,"Hours vary by shop, most open daily",https://www.visitokinawa.jp/,2025-04-22,4200000,2023,https://www.visitokinawa.jp/,2025-04-22,,15800,4.2,9500,4.0,7800,1250,3.9,"食べ歩き, 混雑, 狭い, 店舗, 価値","のどか, 買い物, 雨, 古い, 食べ歩き",Vibrant shopping street with 食べ歩き local shops and 混雑 restaurants offering authentic Okinawan cuisine.,2025-04-22
Ishigaki Island,石垣島,Ishigaki City,"Ishigaki, Okinawa",24.4067,124.1647,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,1200000,2023,https://www.yaeyama-tourism.jp/,2025-04-22,,9200,4.8,6800,4.7,4500,680,4.5,"思い出, 贅沢, 疲れる, 魅力的, 豊か","残念, 混雑, 高い, 不便, 騒がしい",Picturesque island with 思い出 untouched nature and 贅沢 traditional Okinawan lifestyle.,2025-04-22
Kabira Bay,川平湾,Ishigaki City,"Kabira, Ishigaki",24.4526,124.1435,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,950000,2023,https://www.yaeyama-tourism.jp/,2025-04-22,,7500,4.9,5200,4.8,3800,420,4.6,"不足, 汚い, 贅沢, 文化的, 静か","残念, 混雑, 高い, 不便, 騒がしい",Popular Okinawa attraction known for its 不足 atmosphere and 汚い unique experiences.,2025-04-22
Iriomote Island,西表島,Yaeyama District,"Iriomote, Yaeyama",24.39,123.81,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,420000,2023,https://www.yaeyama-tourism.jp/,2025-04-22,,6200,4.7,4100,4.6,2900,350,4.4,"サービス, リラックス, 思い出, 安全, フェリー","残念, 混雑, 高い, 不便, 騒がしい",Picturesque island with サービス untouched nature and リラックス traditional Okinawan lifestyle.,2025-04-22
Okinawa Attraction 1,沖縄の観光地 1,Various Locations,"Address 1, Okinawa",26.01,127.01,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,133336,2023,https://www.visitokinawa.jp/,2025-04-22,,4524,4.1,2896,4.3,1719,0,0.0,"伝統的, 危険, 活気, 安全, 雰囲気","虫, 故障, 充実, 新鮮, 迷う",Popular Okinawa attraction known for its 伝統的 atmosphere and 危険 unique experiences.,2025-04-22
Okinawa Attraction 2,沖縄の観光地 2,Various Locations,"Address 2, Okinawa",26.02,127.02,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Open year-round,https://www.visitokinawa.jp/,2025-04-22,438908,2023,https://www.visitokinawa.jp/,2025-04-22,,4763,4.0,430,3.8,1887,734,3.2,"素敵, 不適切, 眺め, おすすめ, 価値","不適切, 快適, 湿気, 騒がしい, 迷う",Popular Okinawa attraction known for its 素敵 atmosphere and 不適切 unique experiences.,2025-04-22
Okinawa Attraction 3,沖縄の観光地 3,Various Locations,"Address 3, Okinawa",26.03,127.03,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,266219,2023,https://www.visitokinawa.jp/,2025-04-22,,360,4.4,226,3.7,1131,0,0.0,"安全, 清潔, 眺め, のどか, 不調","工事中, 不足, 面倒, 高い, 美しい",Popular Okinawa attraction known for its 安全 atmosphere and 清潔 unique experiences.,2025-04-22
Okinawa Attraction 4,沖縄の観光地 4,Various Locations,"Address 4, Okinawa",26.04,127.04,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,"Recently opened, no annual data available yet",3509,3.9,1054,4.3,211,179,4.5,"素晴らしい, 景色, 暑い, 新鮮, 不安","期待外れ, 歴史的, 不親切, 交通, 観光客",Popular Okinawa attraction known for its 素晴らしい atmosphere and 景色 unique experiences.,2025-04-22
Okinawa Attraction 5,沖縄の観光地 5,Various Locations,"Address 5, Okinawa",26.05,127.05,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,348754,2023,https://www.visitokinawa.jp/,2025-04-22,,1816,4.9,2847,4.4,1583,0,0.0,"リーズナブル, 価値, 虫, 綺麗, 退屈","良い, 工事中, 暑い, 不適切, 古い",Popular Okinawa attraction known for its リーズナブル atmosphere and 価値 unique experiences.,2025-04-22
Okinawa Attraction 6,沖縄の観光地 6,Various Locations,"Address 6, Okinawa",26.06,127.06,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,321334,2023,https://www.visitokinawa.jp/,2025-04-22,,4605,3.9,1783,3.8,1002,0,0.0,"魅力的, 不調, 充実, 優れた, 素晴らしい","雨, 疲れる, 観光客, 閉鎖, 混雑",Popular Okinawa attraction known for its 魅力的 atmosphere and 不調 unique experiences.,2025-04-22
Okinawa Attraction 7,沖縄の観光地 7,Various Locations,"Address 7, Okinawa",26.07,127.07,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,447170,2023,https://www.visitokinawa.jp/,2025-04-22,,1622,4.5,263,3.6,672,442,4.4,"自然, 綺麗, 文化的, 新鮮, 清潔","退屈, 壊れている, 雰囲気, 不便, 残念",Popular Okinawa attraction known for its 自然 atmosphere and 綺麗 unique experiences.,2025-04-22
Okinawa Attraction 8,沖縄の観光地 8,Various Locations,"Address 8, Okinawa",26.08,127.08,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,440767,2023,https://www.visitokinawa.jp/,2025-04-22,,2816,3.8,919,4.7,359,98,3.1,"体験, 価値, のどか, 素晴らしい, 清潔","自然, 壊れている, 危険, 行列, 清潔",Popular Okinawa attraction known for its 体験 atmosphere and 価値 unique experiences.,2025-04-22
Okinawa Attraction 9,沖縄の観光地 9,Various Locations,"Address 9, Okinawa",26.09,127.09,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,Closed for maintenance in February,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,Facility does not track visitor numbers,4403,4.3,2830,4.2,1774,180,3.9,"リーズナブル, 優れた, 最高, 満足, 期待外れ","観光客, 分かりにくい, 優れた, 高い, 残念",Popular Okinawa attraction known for its リーズナブル atmosphere and 優れた unique experiences.,2025-04-22
Okinawa Attraction 10,沖縄の観光地 10,Various Locations,"Address 10, Okinawa",26.1,127.1,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,181600,2023,https://www.visitokinawa.jp/,2025-04-22,,3658,4.0,1503,4.5,1431,505,3.8,"快適, 文化的, 美しい, 景色, 素敵","分かりにくい, 駐車場, 観光客, 退屈, 癒される",Popular Okinawa attraction known for its 快適 atmosphere and 文化的 unique experiences.,2025-04-22
Okinawa Attraction 11,沖縄の観光地 11,Various Locations,"Address 11, Okinawa",26.11,127.11,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,Unknown,2023,,2025-04-22,No official statistics published,3072,3.7,1512,4.1,505,736,3.7,"退屈, 楽しい, 優れた, 最高, のどか","贅沢, 快適, 湿気, 不満, 行列",Popular Okinawa attraction known for its 退屈 atmosphere and 楽しい unique experiences.,2025-04-22
Okinawa Attraction 12,沖縄の観光地 12,Various Locations,"Address 12, Okinawa",26.12,127.12,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,264289,2023,https://www.visitokinawa.jp/,2025-04-22,,2035,3.6,361,4.4,1698,264,4.4,"便利, 雰囲気, 優れた, 親切, 文化的","不調, 工事中, 良い, 迷う, 危険",Popular Okinawa attraction known for its 便利 atmosphere and 雰囲気 unique experiences.,2025-04-22
Okinawa Attraction 13,沖縄の観光地 13,Various Locations,"Address 13, Okinawa",26.13,127.13,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,Closed during typhoon season (check official website),https://www.visitokinawa.jp/,2025-04-22,432505,2023,https://www.visitokinawa.jp/,2025-04-22,,971,4.0,673,3.5,573,184,3.1,"清潔, 眺め, 分かりにくい, 景色, 交通","混雑, 不明瞭, 古い, 汚い, 寒い",Popular Okinawa attraction known for its 清潔 atmosphere and 眺め unique experiences.,2025-04-22
Okinawa Attraction 14,沖縄の観光地 14,Various Locations,"Address 14, Okinawa",26.14,127.14,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Closed on public holidays,https://www.visitokinawa.jp/,2025-04-22,61113,2023,https://www.visitokinawa.jp/,2025-04-22,,455,3.6,2895,3.6,1396,599,4.4,"閉鎖, リラックス, 楽しい, 贅沢, サービス","工事中, 危険, 寒い, 不足, 虫",Popular Okinawa attraction known for its 閉鎖 atmosphere and リラックス unique experiences.,2025-04-22
Okinawa Attraction 15,沖縄の観光地 15,Various Locations,"Address 15, Okinawa",26.15,127.15,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,Closed on Tuesdays,https://www.visitokinawa.jp/,2025-04-22,327982,2023,https://www.visitokinawa.jp/,2025-04-22,,4153,3.8,2765,3.6,1701,0,0.0,"疲れる, 雰囲気, 美味しい, フレンドリー, 最高","不適切, 退屈, 観光客, 寒い, 壊れている",Popular Okinawa attraction known for its 疲れる atmosphere and 雰囲気 unique experiences.,2025-04-22
